epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,161.003,0.89583,0.88414,1.25015,0.62621,0.71591,0.6578,0.40474,1.67049,1.54709,1.7686,0.000404375,0.000404375,0.000404375
43,164.331,0.85332,0.83177,1.24097,0.51126,0.59848,0.50643,0.38798,1.73937,1.63663,1.84196,0.00038375,0.00038375,0.00038375
44,167.497,0.80768,0.77956,1.1936,0.45939,0.58075,0.4926,0.36606,1.82184,1.66176,1.95991,0.000363125,0.000363125,0.000363125
45,171.503,0.85322,0.81305,1.20484,0.75347,0.43068,0.47466,0.36419,1.7303,1.55847,1.86768,0.0003425,0.0003425,0.0003425
46,174.697,0.81884,0.79324,1.20797,0.80854,0.40303,0.46781,0.37858,1.68352,1.49276,1.78221,0.000321875,0.000321875,0.000321875
47,177.878,0.79961,0.78122,1.1841,0.51882,0.42959,0.4609,0.3783,1.64874,1.48847,1.70978,0.00030125,0.00030125,0.00030125
48,181.052,0.8363,0.79937,1.22738,0.73364,0.43068,0.46573,0.38737,1.58766,1.46495,1.63175,0.000280625,0.000280625,0.000280625
49,185.057,0.83127,0.79291,1.21044,0.82309,0.42311,0.47308,0.3918,1.61935,1.53028,1.6435,0.00026,0.00026,0.00026
50,188.252,0.7939,0.76779,1.19858,0.46132,0.60875,0.48219,0.39661,1.59843,1.47865,1.66196,0.000239375,0.000239375,0.000239375
51,193.273,0.915,1.00093,1.25509,0.47215,0.59091,0.51218,0.40092,1.65941,1.52705,1.73962,0.00021875,0.00021875,0.00021875
52,197.607,0.85025,0.83225,1.25067,0.82874,0.42235,0.50783,0.39302,1.69315,1.49778,1.79995,0.000198125,0.000198125,0.000198125
53,200.789,0.86873,0.82576,1.25675,0.53576,0.43826,0.49949,0.38989,1.64042,1.41129,1.723,0.0001775,0.0001775,0.0001775
54,203.865,0.82989,0.80676,1.21633,0.45916,0.6993,0.50841,0.3977,1.59871,1.40171,1.70743,0.000156875,0.000156875,0.000156875
55,206.961,0.79991,0.76619,1.18112,0.45738,0.6968,0.5047,0.39116,1.56278,1.36956,1.67763,0.00013625,0.00013625,0.00013625
56,210.983,0.78706,0.75582,1.17982,0.45859,0.73598,0.51284,0.39422,1.55144,1.3226,1.68242,0.000115625,0.000115625,0.000115625
57,214.149,0.81731,0.75619,1.21078,0.46716,0.7088,0.50425,0.39066,1.57415,1.31452,1.70353,9.5e-05,9.5e-05,9.5e-05
58,217.239,0.78317,0.72766,1.18034,0.50413,0.45148,0.46851,0.38501,1.55047,1.34777,1.68064,7.4375e-05,7.4375e-05,7.4375e-05
59,220.396,0.78714,0.72309,1.20099,0.51597,0.46199,0.47396,0.3874,1.5451,1.36289,1.6742,5.375e-05,5.375e-05,5.375e-05
60,224.449,0.77913,0.72835,1.18727,0.50764,0.46591,0.47637,0.38644,1.56922,1.36031,1.70755,3.3125e-05,3.3125e-05,3.3125e-05
